pozycja,term,n,y0,peak_year,docs_total,prevalence_pct,peak_share_pct,kategoria,wariant_do,na_mapie,w_rdzeniu_4
345,larger sample size,3,2022,2025,311,0.236,0.395,metoda,,False,False
346,fea,1,2021,2025,280,0.236,0.352,technologia,finite element analysis,True,False
347,surgical detail,2,2021,2025,278,0.236,0.459,metoda,,False,False
348,2 test,2,2014,2022,324,0.235,0.287,metoda,,False,False
349,higher bmi,2,2015,2025,299,0.235,0.409,metoda,,False,False
350,spinopelvic parameter,2,2018,2025,263,0.235,0.28,parametr,,False,False
351,9 3,2,2018,2023,441,0.234,0.28,metoda,,False,False
352,ssv,1,2017,2025,288,0.234,0.265,skala,subjective shoulder value,False,False
353,calibration,1,2021,2023,247,0.234,0.28,metoda,,False,False
354,six study,2,2013,2025,358,0.232,0.258,metoda,,False,False
355,ethic,1,2017,2025,312,0.231,0.359,metoda,,False,False
356,acute kidney injury,3,2017,2025,257,0.231,0.43,rozpoznanie,,True,False
357,incidence and risk factor,4,2014,2022,390,0.229,0.28,metoda,,False,False
358,ohs,1,2012,2022,388,0.229,0.294,skala,oxford shoulder score,False,False
359,five study,2,2014,2024,369,0.229,0.275,metoda,,False,False
360,rtha,1,2020,2025,216,0.229,0.309,niejasne,,False,False
361,valuable insight,2,2023,2025,187,0.229,0.538,metoda,,False,False
362,relevant study,2,2015,2024,369,0.228,0.275,metoda,,False,False
363,knee joint function,3,2020,2024,258,0.228,0.282,skala,,False,False
364,four study,2,2017,2024,367,0.226,0.253,metoda,,False,False
365,robotic assistance,2,2021,2025,203,0.226,0.316,technologia,,True,False
366,mid term outcome,3,2016,2025,321,0.225,0.287,wynik,,False,True
367,cochrane risk,2,2020,2025,228,0.223,0.352,metoda,,False,False
368,secondary endpoint,2,2014,2025,403,0.222,0.373,metoda,,False,False
369,seven study,2,2015,2025,340,0.222,0.23,metoda,,False,False
370,medicaid service,2,2016,2025,336,0.222,0.359,organizacja,,False,False
